course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_719002,Angular Crash Course for Busy Developers,https://www.udemy.com/course/angular-crash-course/,Mosh Hamedani,4.43629,10.5,,0,18356,77761
ud_2887266,Microservices with Node JS and React,https://www.udemy.com/course/microservices-with-node-js-and-react/,Stephen Grider,4.6978316,54.5,,0,17318,120699
ud_405818,Javascript for Beginners Learn by Doing Practical Exercises,https://www.udemy.com/course/javascript-for-beginners-introduction-learn-fast-easy/,Edwin Diaz,4.618383,4.0,,0,17118,43509
ud_1313502,Bootstrap 4 From Scratch With 5 Projects,https://www.udemy.com/course/bootstrap-4-from-scratch-with-5-projects/,Brad Traversy,4.5964847,11.5,,0,16797,70385
ud_3873464,Next.js 14 & React - The Complete Guide,https://www.udemy.com/course/nextjs-react-the-complete-guide/,Maximilian Schwarzmüller,4.671355,32.5,,0,16033,103785
ud_519442,The Complete Ruby on Rails Developer Course,https://www.udemy.com/course/the-complete-ruby-on-rails-developer-course/,Rob Percival,4.371495,48.0,,0,15817,100722
ud_1646980,"MERN Stack Front To Back: Full Stack React, Redux & Node.js",https://www.udemy.com/course/mern-stack-front-to-back/,Brad Traversy,4.539571,12.0,,2,15401,62313
ud_1078208,Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,https://www.udemy.com/course/spring-boot-tutorial-for-beginners/,in28Minutes Official,4.5328197,17.0,,0,15233,97419
ud_714724,Docker Crash Course for busy DevOps and Developers,https://www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,Tao W.,4.2742667,3.0,,0,15071,68896
ud_41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/course/learn-html5-programming-from-scratch/,Eduonix Learning Solutions,4.5980144,17.0,,0,14743,319031
ud_1302610,Master Java Web Services and REST API with Spring Boot,https://www.udemy.com/course/spring-web-services-tutorial/,in28Minutes Official,4.522216,13.5,,0,14721,83052
ud_520116,The Complete WordPress Website Business Course,https://www.udemy.com/course/the-complete-wordpress-website-business-course/,Gregg Davis,4.206423,22.0,,0,14718,77978
ud_1254420,Node with React: Fullstack Web Development,https://www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,4.4260416,26.0,,0,14679,87541
ud_1409142,The Coding Interview Bootcamp: Algorithms + Data Structures,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Stephen Grider,4.7250853,13.0,,0,14633,101203
ud_1844356,.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],https://www.udemy.com/course/complete-aspnet-core-21-course/,Bhrugen Patel,4.5663776,17.0,,2,14410,70711
ud_446134,Ultimate Web Designer & Web Developer Course,https://www.udemy.com/course/web-developer-course/,Brad Hussey,4.566273,35.0,,0,14357,82579
ud_80940,Build Websites from Scratch with HTML & CSS,https://www.udemy.com/course/build-website-scratch/,Brad Hussey,4.642303,8.5,,1,14326,95268
ud_1166306,The Complete Front-End Web Development Course,https://www.udemy.com/course/front-end-web-development/,Joseph Delgadillo,4.15368,17.0,,0,13986,426873
ud_861624,ES6 Javascript: The Complete Developer's Guide,https://www.udemy.com/course/javascript-es6-tutorial/,Stephen Grider,4.6116805,6.5,,1,13921,59397
ud_1241254,AWS Serverless APIs & Apps - A Complete Introduction,https://www.udemy.com/course/aws-serverless-a-complete-introduction/,Academind by Maximilian Schwarzmüller,4.6347857,8.0,,0,13495,88917
ud_1470810,The Modern JavaScript Bootcamp,https://www.udemy.com/course/modern-javascript/,Andrew Mead,4.675543,29.5,,0,13005,50999
ud_758582,PHP with Laravel for beginners - Become a Master in Laravel,https://www.udemy.com/course/php-with-laravel-for-beginners-become-a-master-in-laravel/,Edwin Diaz,4.141969,43.0,,0,12707,56745
ud_1362052,AWS CloudFormation Master Class v2 [2024],https://www.udemy.com/course/aws-cloudformation-master-class/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.614177,7.0,,0,12614,62235
ud_1583482,Bash Shell Scripting: Crash Course For Beginners,https://www.udemy.com/course/bash-shell-scripting-crash-course-for-beginners/,Francesco Santi,4.5198245,5.5,,0,12473,42719
ud_1042110,"Beginner Full Stack Web Development: HTML, CSS, React & Node",https://www.udemy.com/course/ultimate-web/,Mark Wahlbeck,4.5009127,31.5,,1,12409,122020
ud_1638522,Node.js: The Complete Guide to Build RESTful APIs (2018),https://www.udemy.com/course/nodejs-master-class/,Mosh Hamedani,4.7057505,15.0,,2,12003,50943
ud_3671332,"50 Projects In 50 Days - HTML, CSS & JavaScript",https://www.udemy.com/course/50-projects-50-days/,Brad Traversy,4.60521,19.0,,1,11374,78033
ud_2640372,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide",https://www.udemy.com/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/,Academind by Maximilian Schwarzmüller,4.5211873,19.0,,0,11367,67603
ud_781532,Advanced React and Redux,https://www.udemy.com/course/react-redux-tutorial/,Stephen Grider,4.631105,21.0,,2,11241,87252
