course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ps_114,The Unsuspecting Beauty & Complexity of Web Forms,https://www.pluralsight.com/courses/pluralsight-live-2020-web-forms,Pluralsight LIVE,,0.455,,1,,
ps_115,Web App Pen Testing: Mapping,https://www.pluralsight.com/courses/web-app-pen-testing-mapping,Tim Tomes,,1.825,,2,,
ps_116,A Practical Guide to Vanilla Web Components,https://www.pluralsight.com/courses/vanilla-web-components-practical-guide,Leon Revill,4.4,2.167777777777778,,2,73,
ps_117,Web Crawling and Scraping Using Rcrawler,https://www.pluralsight.com/courses/web-crawling-and-scraping-using-rcrawler,Dan Tofan,,1.7358333333333333,,3,,
ps_118,AWS Developer: Lambda Deep Dive,https://www.pluralsight.com/courses/aws-developer-lambda-deep-dive,Dror Helper,3.9,3.311111111111111,,2,77,
ps_119,Getting Started with Android Development,https://www.pluralsight.com/courses/getting-started-android-development,Nate Ebel,3.6,1.5886111111111112,,1,36,
ps_120,Software Development Explained,https://www.pluralsight.com/courses/software-development-explained,Simon Allardice,4.8,0.9741666666666666,,1,14,
ps_121,Developing Faster with the Vue CLI,https://www.pluralsight.com/courses/vue-cli-developing-faster,John Papa,4.7,2.4355555555555557,,1,84,
ps_122,TensorFlow Developer Certificate - TensorFlow Developer Skills,https://www.pluralsight.com/courses/tensorflow-developer-certificate-skills,Dhiraj Kumar,,1.4786111111111113,,1,,
ps_123,Eclipse for Java 8 Developers,https://www.pluralsight.com/courses/eclipse-java-developers,Jose Paumard,4.5,3.388888888888889,,2,61,
ps_124,Developing Applications with AWS Lightsail,https://www.pluralsight.com/courses/developing-applications-aws-lightsail,Tom Compagno,4.6,1.1961111111111111,,2,18,
ps_125,Building Go Web Services and Applications,https://www.pluralsight.com/courses/go-building-web-services-applications,Josh Duffney,,3.310833333333333,,2,,
ps_126,AWS Developer: An Introduction to AWS Lambda,https://www.pluralsight.com/courses/aws-developer-introduction-aws-lambda,Fernando Medina Corey,4.3,3.933888888888889,,1,284,
ps_127,Managing New Product Development,https://www.pluralsight.com/courses/managing-new-product-development,Curtis Webb,4.5,0.7327777777777778,,2,13,
ps_128,Enhancing Web UIs with Parallax Scrolling,https://www.pluralsight.com/courses/parallax-scrolling-enhancing-web-uis,Anthony Harris,4.1,1.0044444444444445,,1,33,
ps_129,Tomcat 9 for Java Development,https://www.pluralsight.com/courses/tomcat-java-development,Richard Monson-Haefel,4.6,1.7200000000000002,,2,42,
ps_130,Web Application Analysis with Kali Linux,https://www.pluralsight.com/courses/kali-linux-web-application-analysis,Peter Mosmans,,1.0041666666666667,,1,,
ps_131,Developing Applications with AWS Rekognition,https://www.pluralsight.com/courses/aws-rekognition-developing-applications,Alan Jones,4.6,1.4580555555555554,,1,18,
ps_132,Web Attacks: Enumeration,https://www.pluralsight.com/labs/aws/web-attacks-enumeration,Lee Allen,4.6,1.6666666666666665,,1,10,
ps_133,Web Attacks: XSS,https://www.pluralsight.com/labs/aws/web-attacks-xss,Laurentiu Raducu,4.44,0.6666666666666666,,1,43,
ps_134,Getting Productive with SQL Developer,https://www.pluralsight.com/courses/gettingproductive-sql-developer,Pankaj Jain,4.1,4.923888888888889,,1,18,
ps_135,Outlook On The Web | Mail,https://www.pluralsight.com/courses/outlook-web,ClipTraining,,1.21,,1,,
ps_136,Architecting Scalable Web Applications with Firebase on the Google Cloud Platform,https://www.pluralsight.com/courses/google-cloud-platform-firebase-architecting-scalable-web-applications,Janani Ravi,4.0,1.8433333333333335,,3,13,
ps_137,Security Event Triage: Revealing Attacker Methodology in Web Application Events,https://www.pluralsight.com/courses/set-revealing-attacker-methodology-web-application-events,Aaron Rosenmund,4.6,2.1502777777777777,,3,11,
ps_138,Developing Java Apps with Docker,https://www.pluralsight.com/courses/java-apps-docker-developing-2023,Esteban Herrera,3.8,3.3658333333333332,,2,17,
ps_139,Outlook on the Web (2019),https://www.pluralsight.com/courses/outlook-web-2019,ClipTraining,,1.1005555555555557,,1,,
ps_140,Outlook (on the Web) | Calendar,https://www.pluralsight.com/courses/outlook-web-calendar,ClipTraining,,0.56,,1,,
ps_141,Outlook (on the Web) | Files,https://www.pluralsight.com/courses/outlook-web-files,ClipTraining,,0.14722222222222223,,1,,
ps_142,Web Attacks: SQL Injection,https://www.pluralsight.com/labs/aws/web-attacks-sql-injection,Gavin Johnson-Lynn,4.33,1.0,,1,200,
ps_143,SharePoint Framework Development with PnP,https://www.pluralsight.com/courses/sharepoint-framework-development-pnp,Nicolae Caprarescu,,1.3047222222222223,,2,,
ps_144,Cloud Foundry 6 for Developers,https://www.pluralsight.com/courses/cloud-foundry-developers,Richard Seroter,4.5,2.8622222222222224,,1,211,
ps_145,Outlook (on the Web) | People,https://www.pluralsight.com/courses/outlook-web-people,ClipTraining,,0.41222222222222227,,1,,
ps_146,Introduction to Sitefinity Development,https://www.pluralsight.com/courses/sitefinity-development-introduction,Lino Tadros,4.5,3.868055555555556,,2,117,
ps_147,Log Analysis: Web Applications,https://www.pluralsight.com/labs/aws/log-analysis-web-applications,Nick Stockhauser,4.36,0.9166666666666666,,1,22,
ps_148,Web Attacks: Command Injection,https://www.pluralsight.com/labs/aws/web-attacks-command-injection,Riley Kidd,4.15,1.0833333333333333,,1,34,
ps_149,Developing Packages in Flutter,https://www.pluralsight.com/courses/developing-packages-flutter,Miguel Beltran,,1.4305555555555556,,3,,
ps_150,Software Development: The Big Picture,https://www.pluralsight.com/courses/big-picture-software-development,Floyd May,4.6,1.3272222222222223,,1,42,
ps_151,Salesforce Platform Fundamentals for Developers,https://www.pluralsight.com/courses/salesforce-platform-fundamentals-developers,Mehdi Maujood,4.8,2.2869444444444444,,1,18,
ps_152,Arduino Playbook for Developers,https://www.pluralsight.com/courses/arduino-developers-playbook,Jon Flanders,4.6,0.8930555555555555,,1,10,
ps_153,macOS 10 Development Fundamentals,https://www.pluralsight.com/courses/macos-development-fundamentals,Corissa Jesseman,3.7,3.1122222222222224,,1,32,
ps_154,RESTful Web Services with PHP and Laravel 7,https://www.pluralsight.com/courses/php-laravel-restful-web-services,Max Schwarzmueller,4.5,3.117777777777778,,2,91,
ps_155,Oracle Cloud for Developers,https://www.pluralsight.com/courses/oracle-cloud-developers,Oracle,3.9,1.968888888888889,,2,17,
ps_156,From Developer to Security: Looking at Security from a Developer Lens,https://www.pluralsight.com/courses/devseccon24-security-developer-lens,DevSecCon,,0.6494444444444444,,2,,
ps_157,Using ES6 in Your Node.js Web Application,https://www.pluralsight.com/courses/nodejs-es6-web-apps,Jonathan Mills,4.4,1.74,,2,72,
ps_158,Getting Started With Application Development,https://www.pluralsight.com/courses/getting-started-application-development-11,Google Cloud,,2.4847222222222225,,2,,
ps_159,Crawling the Web with Python 3 and Scrapy 2,https://www.pluralsight.com/courses/crawling-web-python-scrapy,Ed Freitas,4.0,1.5127777777777778,,2,26,
ps_160,Alteryx Developer Tools Playbook,https://www.pluralsight.com/courses/alteryx-developer-tools-playbook,Adam Crahen,,2.3666666666666667,,3,,
ps_161,Salesforce Development: Getting Started,https://www.pluralsight.com/courses/getting-started-salesforce-development,Dan Appleman,4.3,1.3097222222222222,,1,64,
ps_162,Developing Teamwork Skills,https://www.pluralsight.com/courses/developing-teamwork-skills,Emily Luijbregts,4.5,0.7897222222222222,,1,82,
ps_163,Resource Development with GDB,https://www.pluralsight.com/courses/gdb-resource-development,Christopher Curry,,0.2897222222222222,,2,,
