,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
47,Back-end Application Development Capstone Project,ce_101087,https://www.coursera.org/learn/backend-development-capstone-project,IBM Skills Network Team,5.0,19.0,18.0,3,3325,"Demonstrate proficiency to develop and deploy backend services and applications  Apply your back-end development skills to author microservices and REST APIs in Flask Create and query databases like MongoDB and integrate with Django apps Containerize microservices using Docker and deploy using Kubernetes, OpenShift and serverless Django (Web Framework) Mongodb Docker Flask Representational State Transfer (REST) Module 1: Getting Started Creating Get Songs Service with Flask Module 3: Main Django Application Module 4: Deploy your application and services Module 5: Final Submission and Peer Review"
48,Build Your First Android App (Project-Centered Course),ce_101088,https://www.coursera.org/learn/android-app,Dr. Virginie Galtier,4.2,2000.0,21.0,0,339488,"Introduction Create the Storyboard for Your Application Install Tools, Create HelloWorld App Build Your First Interactive Application Toward Your Application, Step-By-Step Transform Your Storyboard Into Actual Application"
49,How To Create a Website in a Weekend! (Project-Centered Course),ce_101089,https://www.coursera.org/learn/how-to-create-a-website,Dr.  Margaret Anne Schedel,3.3,577.0,13.0,0,193944,"Web Design Web Development Websites Wordpress Module 1: Prepping Your Site Module 2: Starting to work with Wordpress Module 3: Add Media, Social Media and Launch Module 4: Go Deeper with Further Customization"
50,Ø£Ø³Ø§Ø³ÙØ§Øª ÙÙØ§ÙØ¹ Ø§ÙÙÙØ¨ Ø³Ø±ÙØ¹Ø© Ø§ÙØ§Ø³ØªØ¬Ø§Ø¨Ø©: Ø§ÙØ¨Ø±ÙØ¬Ø© Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù HTML ÙCSS ÙJavaScript,ce_101090,https://www.coursera.org/learn/website-coding-ar,Dr Matthew Yee-King,4.7,53.0,25.0,0,8969,ÙÙØ¯ÙØ© Ø­ÙÙ Ø§ÙØ¯ÙØ±Ø© Ø§ÙØªØ¯Ø±ÙØ¨ÙØ© HTML  CSS Ø¨Ø¯Ø§ÙØ© ÙÙØ®Øµ JavaScript Ø§ÙØªØ¹ÙÙ ÙÙ JavaScript
51,Version Control with Git,ce_101091,https://www.coursera.org/learn/version-control-with-git,Steve Byrnes,4.7,2900.0,13.0,0,118297,Version Control Github Command-Line Interface Bitbucket Our First Repository Branching and Merging I Branching and Merging II Git Workflows
52,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",ce_101092,https://www.coursera.org/learn/website-coding,Dr Matthew Yee-King,4.6,6100.0,25.0,0,189711,Jquery HTML JavaScript Cascading Style Sheets (CSS) Course introduction HTML  CSS Beginning JavaScript  Going deeper into JavaScript 
53,AJAX for Web Developers,ce_101093,https://www.coursera.org/learn/ajax-for-web-developers,Mau Fournier,,,3.0,2,0,Async/Await Ajax (Programming) JSON decoding Promises Fetch Lesson 1 Lesson 2 Lesson 3
54,Management of Fashion and Luxury Companies,ce_101094,https://www.coursera.org/learn/mafash,Erica Corbellini,4.7,5600.0,12.0,0,267162,"Strategic Management Business Model Luxury Goods Brand Management What is Fashion? What is Luxury? Defining Complex Competitive Systems and Business Logics The Evolution of Business Models: From Designers to Fast Fashion Retailers Stylistic Identity and the Product Development Process: The Role of Heritage, Stylistic Codes and Icon Products in Defining the Seasonal Collection Image Identity and the Communication Process: Key Activities, Decision Makers, the Challenge of Creating Digital Contents for Fashion and Luxury Brands Retail Identity and Retail Management: the Customerâs Experience Within a Mix of Channels. The Future of Fashion E-tailing. FINAL TEST"
55,Legal Tech & Startups ,ce_101095,https://www.coursera.org/learn/legal-tech-startups,Marti Manent,4.5,227.0,13.0,2,20215,Introduction and first steps The Business idea Resources and execution Growing and accelerating your Legal Tech Startup
56,An Introduction to Programming using Python,ce_101096,https://www.coursera.org/learn/an-introduction-to-programming-using-python,Dr Rafael Papallas,4.7,39.0,9.0,1,4925," Describe what computer programming is, recognising its purpose and how it enables the creation and execution of computer programs.   Explain what algorithms are and their significance in programming.  Create programs that accept user input, display output, and utilise essential programming constructs such as if statements, loops, and functions.  Gain digital skills as part of Click Start! Follow the link in the instructor bio to see if you're eligible for FREE access to this course and more.. Programming Principles Python Programming Coding Week 1: Programming fundamentals in Python Week 2"
57,Web of Data,ce_101097,https://www.coursera.org/learn/web-data,Catherine Faron Zucker,4.1,84.0,18.0,2,6111,publish Linked Open Data on the Web search for occurrences of a query graph access remotely data sources on the Web use and mix together existing data to obtain new data PRINCIPLES OF A WEB OF LINKED DATA The RDF data model SPARQL Query Language Integration of other data formats and sources
58,Secure Full Stack MEAN Developer,ce_101098,https://www.coursera.org/learn/secure-full-stack-mean-developer,EC-Council,4.6,56.0,24.0,1,6579,Explore each individual technology used in the MEAN stack Learn to create innovative and cutting-edge web applications quickly using only JavaScript Learn to build single-page application and multipage application using Express Learnt and create REST APIs to perform CRUD operations Mongodb Web Development Angularjs MEAN Stack Development Dependency Injection System Introduction Getting Started with Node.js (N) Server-Side Development with Express (E)  Getting Started with MongoDB (M) Configuring the Backend  Frontend Development with JavaScript  Configuring the Frontend Performing CRUD Operations Conclusion 
59,Advanced Java,ce_101099,https://www.coursera.org/learn/advanced-java,Upasana Dewangan,5.0,6.0,17.0,3,2045,Spring Boot Java Programming Maven Welcome & Module 1: Servlets and JSP Module 2: Introduction to Maven + Backend Development using Spring Boot  Module 3: Microservices and Spring Cloud
60,CompTIA a+ Cyber,ce_101100,https://www.coursera.org/learn/comptia-aplus-cyber,CompTIA Fast Track to Tech,4.3,9.0,31.0,1,1977,Take the first step on your cybersecurity career path with this course to learn to keep Window PCs and home networks safe with simple security steps.  Get to know how to use tools and methods to safeguard large and small company networks.   Discover how to handle Linux systems and write scripts to automate tasks and save time. Gain the essentials to progress to CompTIA Security+ certification training. Note: This course doesn't include CompTIA Security+ certification prep. Server Administrator Network Security Operational Risk Management Application Security Cyber Security Management Module 1: Security Operations Fundamentals Module 2: Microsoft Windows Administration Module 3: Secure Network Client Fundamentals Module 4: Enterprise Campus Network Fundamentals Module 5: Enterprise Network Application Fundamentals Module 6: Cybersecurity Controls Module 7: Linux App Server Fundamentals Module 8: Automation Scripting Fundamentals Module 9: Data Management Fundamentals 
61,Programming and Application Foundations,ce_101101,https://www.coursera.org/learn/illinois-tech-programming-and-application-foundations,Raj Krishnan,,,56.0,2,0,"How to develop an end-to-end web application using database and deploy to cloud managing source control Web Development Tools HTML and CSS Cloud Computing Web Development JavaScript Module 1: Introduction to Web Development and HTML/CSS Basics Module 2: JavaScript Basics Module 3: Web Development Tools and Frameworks Module 4: Client-Server Model and HTTP Module 5: Programming Fundamentals Module 6: Data Structures and Algorithms, Relational Database Concepts, SQL, and Database Management Module 7: Server-Side Scripting Module 8: Web Application Project Development and Deployment Summative Course Assessment"
62,JavaScript Interview Challenges,ce_101102,https://www.coursera.org/learn/javascript-interview-challenges,Treasure Porth,4.5,26.0,2.0,2,0,JavaScript Tech interview practice Computer Programming JavaScript (Programming Language) Web Development Front-End Engineering job interviews JavaScript Interview Challenges
